Purchase Date,Purchase Cost,Source,Sale Date,Sale Price,Profit,month,year,turnover
2/11/2016,$77.95 ,Thrift Store,3/24/2016,$127.95 ,$51.62 ,2,2016,53.21317068
2/12/2016,$104.71 ,Thrift Store,3/25/2016,$154.71 ,$116.02 ,2,2016,43.73373148
2/13/2016,$79.47 ,Thrift Store,3/26/2016,$129.47 ,$62.80 ,2,2016,51.92205074
2/14/2016,$49.02 ,Thrift Store,3/27/2016,$99.02 ,$63.56 ,2,2016,43.55479968
2/15/2016,$38.23 ,Thrift Store,3/28/2016,$88.23 ,$61.96 ,2,2016,47.12158591
2/16/2016,$43.37 ,Thrift Store,3/29/2016,$93.37 ,$68.24 ,2,2016,43.83538484
2/17/2016,$113.79 ,Thrift Store,3/30/2016,$163.79 ,$89.57 ,2,2016,46.50160271
2/18/2016,$32.57 ,Furniture Store,3/31/2016,$82.57 ,$60.58 ,2,2016,45.06403602
2/19/2016,$53.48 ,Furniture Store,4/1/2016,$103.48 ,$72.20 ,2,2016,51.94684939
2/20/2016,$58.29 ,Furniture Store,4/2/2016,$108.29 ,$66.05 ,2,2016,55.60989577
2/21/2016,$42.32 ,Furniture Store,4/3/2016,$92.32 ,$84.82 ,2,2016,51.30519552
2/22/2016,$48.48 ,Furniture Store,4/4/2016,$98.48 ,$77.52 ,2,2016,53.68702596
2/23/2016,$88.80 ,Furniture Store,4/5/2016,$138.80 ,$117.34 ,2,2016,43.14718553
2/24/2016,$84.31 ,Furniture Store,4/6/2016,$134.31 ,$101.13 ,2,2016,44.76214022
2/25/2016,$45.30 ,Furniture Store,4/7/2016,$95.30 ,$82.38 ,2,2016,56.51840198
2/26/2016,$82.08 ,Furniture Store,4/8/2016,$132.08 ,$124.05 ,2,2016,47.96372854
2/27/2016,$98.65 ,Furniture Store,4/9/2016,$148.65 ,$148.03 ,2,2016,53.83266266
2/28/2016,$28.54 ,Furniture Store,4/10/2016,$78.54 ,$77.08 ,2,2016,61.66681479
2/29/2016,$42.13 ,Furniture Store,4/11/2016,$92.13 ,$72.47 ,2,2016,60.49050942
3/1/2016,$63.11 ,Furniture Store,4/12/2016,$113.11 ,$94.67 ,3,2016,53.46107735
3/2/2016,$34.49 ,Furniture Store,4/13/2016,$84.49 ,$59.94 ,3,2016,59.48105774
3/3/2016,$89.08 ,Furniture Store,4/14/2016,$139.08 ,$126.32 ,3,2016,60.94568366
3/4/2016,$91.78 ,Furniture Store,4/15/2016,$141.78 ,$67.48 ,3,2016,46.77776208
3/5/2016,$32.41 ,Furniture Store,4/16/2016,$82.41 ,$68.93 ,3,2016,43.52054842
3/6/2016,$68.16 ,Furniture Store,4/17/2016,$118.16 ,$65.00 ,3,2016,45.04276119
3/7/2016,$123.87 ,Furniture Store,4/18/2016,$173.87 ,$78.83 ,3,2016,43.90089677
3/8/2016,$76.05 ,Furniture Store,4/19/2016,$126.05 ,$75.41 ,3,2016,61.14262624
3/9/2016,$124.99 ,Furniture Store,4/20/2016,$174.99 ,$131.12 ,3,2016,46.31491318
3/10/2016,$123.52 ,Furniture Store,4/21/2016,$173.52 ,$153.40 ,3,2016,53.11160067
3/11/2016,$111.90 ,Furniture Store,4/22/2016,$161.90 ,$115.53 ,3,2016,52.13421912
3/12/2016,$55.63 ,Furniture Store,4/23/2016,$105.63 ,$88.05 ,3,2016,56.58413465
3/13/2016,$110.95 ,Furniture Store,4/24/2016,$160.95 ,$77.51 ,3,2016,55.69685239
3/14/2016,$34.96 ,Furniture Store,4/25/2016,$84.96 ,$56.43 ,3,2016,46.01007471
3/15/2016,$73.71 ,Furniture Store,4/26/2016,$123.71 ,$108.37 ,3,2016,56.02104797
3/16/2016,$26.82 ,Furniture Store,4/27/2016,$76.82 ,$54.71 ,3,2016,61.20117262
3/17/2016,$100.06 ,Furniture Store,4/28/2016,$150.06 ,$90.50 ,3,2016,59.55870764
3/18/2016,$117.57 ,Furniture Store,4/29/2016,$167.57 ,$63.49 ,3,2016,42.04414326
3/19/2016,$61.40 ,Online,4/30/2016,$111.40 ,$62.76 ,3,2016,45.88663418
3/20/2016,$68.15 ,Online,5/1/2016,$118.15 ,$86.78 ,3,2016,42.84589109
3/21/2016,$36.62 ,Online,5/2/2016,$86.62 ,$78.41 ,3,2016,48.35369724
3/22/2016,$47.23 ,Online,5/3/2016,$97.23 ,$85.74 ,3,2016,52.91935384
3/23/2016,$120.85 ,Online,5/4/2016,$170.85 ,$97.61 ,3,2016,52.45017503
3/24/2016,$107.41 ,Online,5/5/2016,$157.41 ,$68.48 ,3,2016,55.95503082
3/25/2016,$55.42 ,Online,5/6/2016,$105.42 ,$104.67 ,3,2016,46.19144968
3/26/2016,$110.02 ,Online,5/7/2016,$160.02 ,$99.78 ,3,2016,48.75036671
3/27/2016,$66.92 ,Online,5/8/2016,$116.92 ,$87.50 ,3,2016,49.1085616
3/28/2016,$36.82 ,Online,5/9/2016,$86.82 ,$80.60 ,3,2016,59.95076068
3/29/2016,$50.33 ,Online,5/10/2016,$100.33 ,$56.84 ,3,2016,42.25323015
3/30/2016,$59.40 ,Online,5/11/2016,$109.40 ,$60.60 ,3,2016,61.89689414
3/31/2016,$102.74 ,Online,5/12/2016,$152.74 ,$56.34 ,3,2016,42.66773432
4/1/2016,$54.86 ,Online,5/13/2016,$104.86 ,$80.50 ,4,2016,55.02802888
4/2/2016,$57.83 ,Online,5/14/2016,$107.83 ,$52.90 ,4,2016,61.53965578
4/3/2016,$82.80 ,Online,5/15/2016,$132.80 ,$112.34 ,4,2016,61.37739739
4/4/2016,$107.67 ,Online,5/16/2016,$157.67 ,$55.93 ,4,2016,48.53720197
4/5/2016,$71.21 ,Online,5/17/2016,$121.21 ,$91.28 ,4,2016,46.19632427
4/6/2016,$34.26 ,Online,5/18/2016,$84.26 ,$72.79 ,4,2016,54.79082195
4/7/2016,$94.66 ,Online,5/19/2016,$144.66 ,$88.98 ,4,2016,61.14301205
4/8/2016,$107.05 ,Online,5/20/2016,$157.05 ,$52.37 ,4,2016,56.15564091
4/9/2016,$56.82 ,Online,5/21/2016,$106.82 ,$76.07 ,4,2016,48.57683776
4/10/2016,$41.19 ,Online,5/22/2016,$91.19 ,$52.58 ,4,2016,44.2764583
4/11/2016,$67.91 ,Online,5/23/2016,$117.91 ,$79.43 ,4,2016,49.83782237
4/12/2016,$27.60 ,Online,5/24/2016,$77.60 ,$52.08 ,4,2016,60.57842258
4/13/2016,$86.90 ,Online,5/25/2016,$136.90 ,$126.26 ,4,2016,57.48241286
4/14/2016,$54.82 ,Online,5/26/2016,$104.82 ,$60.46 ,4,2016,46.2466019
4/15/2016,$111.72 ,Online,5/27/2016,$161.72 ,$90.27 ,4,2016,48.11908659
4/16/2016,$58.66 ,Online,5/28/2016,$108.66 ,$66.15 ,4,2016,52.32648664
4/17/2016,$32.38 ,Online,5/29/2016,$82.38 ,$60.24 ,4,2016,48.83590578
4/18/2016,$67.74 ,Online,5/30/2016,$117.74 ,$54.04 ,4,2016,56.29980276
4/19/2016,$62.41 ,Online,5/31/2016,$112.41 ,$89.11 ,4,2016,47.61957677
4/20/2016,$96.24 ,Online,6/1/2016,$146.24 ,$73.14 ,4,2016,60.74433081
4/21/2016,$106.82 ,Online,6/2/2016,$156.82 ,$123.94 ,4,2016,50.1007774
4/22/2016,$104.66 ,Online,6/3/2016,$154.66 ,$82.91 ,4,2016,43.39631473
4/23/2016,$122.98 ,Online,6/4/2016,$172.98 ,$138.15 ,4,2016,60.27945346
4/24/2016,$53.94 ,Online,6/5/2016,$103.94 ,$82.00 ,4,2016,55.18891917
4/25/2016,$84.54 ,Online,6/6/2016,$134.54 ,$128.33 ,4,2016,55.37731077
4/26/2016,$91.06 ,Online,6/7/2016,$141.06 ,$107.70 ,4,2016,42.35748258
4/27/2016,$114.63 ,Online,6/8/2016,$164.63 ,$85.39 ,4,2016,49.9018416
4/28/2016,$124.83 ,Online,6/9/2016,$174.83 ,$119.22 ,4,2016,59.05583856
4/29/2016,$82.42 ,Online,6/10/2016,$132.42 ,$105.40 ,4,2016,45.48150493
4/30/2016,$86.32 ,Online,6/11/2016,$136.32 ,$96.51 ,4,2016,43.17117533
5/1/2016,$62.85 ,Online,6/12/2016,$112.85 ,$57.94 ,5,2016,50.1249297
5/2/2016,$119.59 ,Online,6/13/2016,$169.59 ,$155.15 ,5,2016,60.68477669
5/3/2016,$91.19 ,Online,6/14/2016,$141.19 ,$103.05 ,5,2016,56.49660372
5/4/2016,$31.95 ,Online,6/15/2016,$81.95 ,$79.49 ,5,2016,43.67219803
5/5/2016,$118.95 ,Online,6/16/2016,$168.95 ,$133.85 ,5,2016,61.07962053
5/6/2016,$116.23 ,Online,6/17/2016,$166.23 ,$100.83 ,5,2016,48.70455722
5/7/2016,$100.02 ,Online,6/18/2016,$150.02 ,$85.24 ,5,2016,47.44681976
5/8/2016,$34.40 ,Online,6/19/2016,$84.40 ,$62.48 ,5,2016,43.22598093
5/9/2016,$118.14 ,Online,6/20/2016,$168.14 ,$51.46 ,5,2016,51.48391355
5/10/2016,$26.96 ,Online,6/21/2016,$76.96 ,$64.84 ,5,2016,58.84108623
5/11/2016,$108.59 ,Online,6/22/2016,$158.59 ,$68.18 ,5,2016,54.15857127
5/12/2016,$99.74 ,Online,6/23/2016,$149.74 ,$99.44 ,5,2016,43.02519461
5/13/2016,$25.83 ,Online,6/24/2016,$75.83 ,$58.29 ,5,2016,50.38296548
5/14/2016,$29.61 ,Online,6/25/2016,$79.61 ,$60.48 ,5,2016,57.7978915
5/15/2016,$74.79 ,Online,6/26/2016,$124.79 ,$74.62 ,5,2016,47.86500273
5/16/2016,$104.43 ,Online,6/27/2016,$154.43 ,$98.04 ,5,2016,54.22136004
5/17/2016,$66.57 ,Online,6/28/2016,$116.57 ,$58.40 ,5,2016,49.00699177
5/18/2016,$115.27 ,Online,6/29/2016,$165.27 ,$74.06 ,5,2016,55.78650879
5/19/2016,$55.64 ,Online,6/30/2016,$105.64 ,$96.23 ,5,2016,42.97031393
5/20/2016,$119.63 ,Online,7/1/2016,$169.63 ,$160.80 ,5,2016,50.72202811
5/21/2016,$25.99 ,Online,7/2/2016,$75.99 ,$71.80 ,5,2016,55.59560968
5/22/2016,$40.13 ,Online,7/3/2016,$90.13 ,$58.64 ,5,2016,52.49070804
5/23/2016,$60.74 ,Online,7/4/2016,$110.74 ,$102.35 ,5,2016,53.58088996
5/24/2016,$31.24 ,Online,7/5/2016,$81.24 ,$74.18 ,5,2016,57.97045905
5/25/2016,$70.92 ,Online,7/6/2016,$120.92 ,$63.66 ,5,2016,49.75314402
5/26/2016,$105.09 ,Online,7/7/2016,$155.09 ,$78.58 ,5,2016,60.77072006
5/27/2016,$47.34 ,Online,7/8/2016,$97.34 ,$72.28 ,5,2016,56.61441131
5/28/2016,$45.17 ,Online,7/9/2016,$95.17 ,$92.00 ,5,2016,51.82033232
5/29/2016,$63.05 ,Online,7/10/2016,$113.05 ,$105.16 ,5,2016,51.20453711
5/30/2016,$49.94 ,Online,7/11/2016,$99.94 ,$53.71 ,5,2016,61.46240934
5/31/2016,$58.72 ,Online,7/12/2016,$108.72 ,$89.94 ,5,2016,59.77810069
6/1/2016,$77.67 ,Online,7/13/2016,$127.67 ,$127.36 ,6,2016,48.77923164
6/2/2016,$108.44 ,Online,7/14/2016,$158.44 ,$57.37 ,6,2016,45.47711085
6/3/2016,$51.35 ,Online,7/15/2016,$101.35 ,$50.80 ,6,2016,54.53421169
6/4/2016,$38.20 ,Online,7/16/2016,$88.20 ,$54.05 ,6,2016,56.23932401
6/5/2016,$75.65 ,Furniture Store,7/17/2016,$125.65 ,$105.82 ,6,2016,53.37384818
6/6/2016,$32.11 ,Furniture Store,7/18/2016,$82.11 ,$80.78 ,6,2016,52.36801188
6/7/2016,$31.65 ,Furniture Store,7/19/2016,$81.65 ,$56.36 ,6,2016,59.13701556
6/8/2016,$75.96 ,Furniture Store,7/20/2016,$125.96 ,$90.52 ,6,2016,42.28632269
6/9/2016,$90.48 ,Furniture Store,7/21/2016,$140.48 ,$107.23 ,6,2016,55.41234361
6/10/2016,$93.34 ,Furniture Store,7/22/2016,$143.34 ,$77.21 ,6,2016,50.66543162
6/11/2016,$82.56 ,Furniture Store,7/23/2016,$132.56 ,$91.36 ,6,2016,46.72155265
6/12/2016,$66.40 ,Furniture Store,7/24/2016,$116.40 ,$111.15 ,6,2016,45.69197532
6/13/2016,$92.05 ,Furniture Store,7/25/2016,$142.05 ,$85.17 ,6,2016,60.31575965
6/14/2016,$62.67 ,Furniture Store,7/26/2016,$112.67 ,$89.46 ,6,2016,54.70644834
6/15/2016,$105.76 ,Furniture Store,7/27/2016,$155.76 ,$120.47 ,6,2016,44.25759283
6/16/2016,$90.71 ,Furniture Store,7/28/2016,$140.71 ,$73.74 ,6,2016,53.44450773
6/17/2016,$78.40 ,Furniture Store,7/29/2016,$128.40 ,$98.52 ,6,2016,57.09732212
6/18/2016,$99.32 ,Furniture Store,7/30/2016,$149.32 ,$56.48 ,6,2016,60.39535075
6/19/2016,$77.06 ,Furniture Store,7/31/2016,$127.06 ,$55.24 ,6,2016,58.81717601
6/20/2016,$83.32 ,Furniture Store,8/1/2016,$133.32 ,$110.33 ,6,2016,43.70251304
6/21/2016,$109.17 ,Furniture Store,8/2/2016,$159.17 ,$91.08 ,6,2016,44.60807176
6/22/2016,$111.62 ,Furniture Store,8/3/2016,$161.62 ,$156.37 ,6,2016,56.17529733
6/23/2016,$105.55 ,Furniture Store,8/4/2016,$155.55 ,$53.88 ,6,2016,52.25144024
6/24/2016,$85.57 ,Furniture Store,8/5/2016,$135.57 ,$74.34 ,6,2016,45.33870982
6/25/2016,$53.59 ,Furniture Store,8/6/2016,$103.59 ,$75.64 ,6,2016,58.9090522
6/26/2016,$104.97 ,Furniture Store,8/7/2016,$154.97 ,$112.27 ,6,2016,58.10219694
6/27/2016,$57.38 ,Furniture Store,8/8/2016,$107.38 ,$95.34 ,6,2016,57.36120071
6/28/2016,$35.17 ,Furniture Store,8/9/2016,$85.17 ,$55.68 ,6,2016,52.85886161
6/29/2016,$80.66 ,Furniture Store,8/10/2016,$130.66 ,$104.65 ,6,2016,61.33921833
6/30/2016,$67.52 ,Furniture Store,8/11/2016,$117.52 ,$69.40 ,6,2016,59.67759458
7/1/2016,$26.13 ,Furniture Store,8/12/2016,$76.13 ,$74.10 ,7,2016,54.97148013
7/2/2016,$114.46 ,Furniture Store,8/13/2016,$164.46 ,$139.19 ,7,2016,60.99254556
7/3/2016,$79.97 ,Furniture Store,8/14/2016,$129.97 ,$51.43 ,7,2016,61.28374896
7/4/2016,$79.64 ,Furniture Store,8/15/2016,$129.64 ,$96.56 ,7,2016,45.04001535
7/5/2016,$108.23 ,Furniture Store,8/16/2016,$158.23 ,$96.66 ,7,2016,58.09889474
7/6/2016,$77.54 ,Furniture Store,8/17/2016,$127.54 ,$55.62 ,7,2016,56.18032402
7/7/2016,$112.10 ,Furniture Store,8/18/2016,$162.10 ,$126.95 ,7,2016,59.42833312
7/8/2016,$113.84 ,Furniture Store,8/19/2016,$163.84 ,$162.56 ,7,2016,54.94177773
7/9/2016,$108.41 ,Furniture Store,8/20/2016,$158.41 ,$106.13 ,7,2016,51.83843242
7/10/2016,$80.02 ,Furniture Store,8/21/2016,$130.02 ,$77.85 ,7,2016,61.48006894
7/11/2016,$52.62 ,Furniture Store,8/22/2016,$102.62 ,$80.44 ,7,2016,55.95491877
7/12/2016,$35.61 ,Furniture Store,8/23/2016,$85.61 ,$71.36 ,7,2016,44.08973487
7/13/2016,$56.23 ,Furniture Store,8/24/2016,$106.23 ,$57.22 ,7,2016,59.80779296
7/14/2016,$81.36 ,Furniture Store,8/25/2016,$131.36 ,$86.18 ,7,2016,54.53014926
7/15/2016,$92.62 ,Furniture Store,8/26/2016,$142.62 ,$127.48 ,7,2016,61.33554022
7/16/2016,$34.56 ,Furniture Store,8/27/2016,$84.56 ,$64.24 ,7,2016,57.39486885
7/17/2016,$124.92 ,Furniture Store,8/28/2016,$174.92 ,$121.07 ,7,2016,51.24425038
7/18/2016,$66.32 ,Furniture Store,8/29/2016,$116.32 ,$90.85 ,7,2016,49.95769315
7/19/2016,$25.96 ,Furniture Store,8/30/2016,$75.96 ,$56.50 ,7,2016,60.82485029
7/20/2016,$45.77 ,Furniture Store,8/31/2016,$95.77 ,$84.83 ,7,2016,48.14614187
7/21/2016,$58.33 ,Furniture Store,9/1/2016,$108.33 ,$81.45 ,7,2016,42.8756375
7/22/2016,$77.63 ,Furniture Store,9/2/2016,$127.63 ,$88.45 ,7,2016,56.86115078
7/23/2016,$70.26 ,Furniture Store,9/3/2016,$120.26 ,$79.12 ,7,2016,47.35475321
7/24/2016,$118.75 ,Furniture Store,9/4/2016,$168.75 ,$153.91 ,7,2016,49.73269352
7/25/2016,$46.86 ,Furniture Store,9/5/2016,$96.86 ,$76.36 ,7,2016,46.83588677
7/26/2016,$98.58 ,Furniture Store,9/6/2016,$148.58 ,$121.40 ,7,2016,43.96543505
7/27/2016,$61.01 ,Furniture Store,9/7/2016,$111.01 ,$58.82 ,7,2016,60.33207967
7/28/2016,$89.55 ,Furniture Store,9/8/2016,$139.55 ,$54.37 ,7,2016,51.68189648
7/29/2016,$109.53 ,Furniture Store,9/9/2016,$159.53 ,$52.88 ,7,2016,60.39023372
7/30/2016,$85.03 ,Furniture Store,9/10/2016,$135.03 ,$110.03 ,7,2016,43.66816417
7/31/2016,$75.26 ,Furniture Store,9/11/2016,$125.26 ,$72.91 ,7,2016,44.95240159
8/1/2016,$75.90 ,Furniture Store,9/12/2016,$125.90 ,$94.21 ,8,2016,45.65997873
8/2/2016,$54.69 ,Furniture Store,9/13/2016,$104.69 ,$76.25 ,8,2016,45.20072659
8/3/2016,$26.50 ,Furniture Store,9/14/2016,$76.50 ,$75.33 ,8,2016,47.99352999
8/4/2016,$109.74 ,Furniture Store,9/15/2016,$159.74 ,$146.44 ,8,2016,42.49159175
8/5/2016,$94.50 ,Furniture Store,9/16/2016,$144.50 ,$92.51 ,8,2016,59.60519199
8/6/2016,$101.55 ,Furniture Store,9/17/2016,$151.55 ,$87.47 ,8,2016,50.9390971
8/7/2016,$105.51 ,Furniture Store,9/18/2016,$155.51 ,$56.44 ,8,2016,60.83346973
8/8/2016,$52.99 ,Furniture Store,9/19/2016,$102.99 ,$50.19 ,8,2016,43.22304421
8/9/2016,$69.67 ,Furniture Store,9/20/2016,$119.67 ,$66.13 ,8,2016,48.28931668
8/10/2016,$59.91 ,Furniture Store,9/21/2016,$109.91 ,$98.33 ,8,2016,44.29580638
8/11/2016,$80.40 ,Furniture Store,9/22/2016,$130.40 ,$121.66 ,8,2016,46.91305775
8/12/2016,$86.11 ,Furniture Store,9/23/2016,$136.11 ,$98.91 ,8,2016,49.5477895
8/13/2016,$99.13 ,Furniture Store,9/24/2016,$149.13 ,$122.02 ,8,2016,46.58759441
8/14/2016,$114.16 ,Furniture Store,9/25/2016,$164.16 ,$142.69 ,8,2016,61.33000795
8/15/2016,$53.84 ,Furniture Store,9/26/2016,$103.84 ,$54.38 ,8,2016,59.73806766
8/16/2016,$69.97 ,Furniture Store,9/27/2016,$119.97 ,$106.78 ,8,2016,55.41187592
8/17/2016,$73.38 ,Furniture Store,9/28/2016,$123.38 ,$55.15 ,8,2016,61.82419229
8/18/2016,$77.06 ,Furniture Store,9/29/2016,$127.06 ,$102.16 ,8,2016,50.47603491
8/19/2016,$46.52 ,Furniture Store,9/30/2016,$96.52 ,$84.00 ,8,2016,56.39868635
8/20/2016,$29.46 ,Furniture Store,10/1/2016,$79.46 ,$53.97 ,8,2016,54.0746346
8/21/2016,$82.08 ,Furniture Store,10/2/2016,$132.08 ,$75.13 ,8,2016,49.78556103
8/22/2016,$53.12 ,Furniture Store,10/3/2016,$103.12 ,$72.05 ,8,2016,47.23868633
8/23/2016,$30.65 ,Furniture Store,10/4/2016,$80.65 ,$68.65 ,8,2016,55.2451349
8/24/2016,$101.43 ,Furniture Store,10/5/2016,$151.43 ,$113.00 ,8,2016,56.15066109
8/25/2016,$97.10 ,Furniture Store,10/6/2016,$147.10 ,$96.52 ,8,2016,48.24135598
8/26/2016,$33.71 ,Furniture Store,10/7/2016,$83.71 ,$77.96 ,8,2016,58.28078682
8/27/2016,$114.69 ,Furniture Store,10/8/2016,$164.69 ,$66.86 ,8,2016,55.69731499
8/28/2016,$55.80 ,Furniture Store,10/9/2016,$105.80 ,$64.43 ,8,2016,54.76751151
8/29/2016,$61.63 ,Furniture Store,10/10/2016,$111.63 ,$84.89 ,8,2016,42.19255435
8/30/2016,$91.83 ,Furniture Store,10/11/2016,$141.83 ,$71.25 ,8,2016,58.09177804
8/31/2016,$112.50 ,Furniture Store,10/12/2016,$162.50 ,$90.45 ,8,2016,42.69405359
9/1/2016,$64.05 ,Furniture Store,10/13/2016,$114.05 ,$100.70 ,9,2016,56.56267025
9/2/2016,$118.09 ,Furniture Store,10/14/2016,$168.09 ,$66.64 ,9,2016,54.63861391
9/3/2016,$31.28 ,Furniture Store,10/15/2016,$81.28 ,$50.77 ,9,2016,50.07870789
9/4/2016,$111.95 ,Online,10/16/2016,$161.95 ,$150.16 ,9,2016,52.82129339
9/5/2016,$41.16 ,Online,10/17/2016,$91.16 ,$80.88 ,9,2016,44.47248638
9/6/2016,$112.56 ,Online,10/18/2016,$162.56 ,$50.10 ,9,2016,45.01715994
9/7/2016,$28.70 ,Online,10/19/2016,$78.70 ,$59.89 ,9,2016,58.62590544
9/8/2016,$103.20 ,Online,10/20/2016,$153.20 ,$129.45 ,9,2016,46.81758656
9/9/2016,$97.59 ,Online,10/21/2016,$147.59 ,$68.64 ,9,2016,46.09488414
9/10/2016,$61.84 ,Online,10/22/2016,$111.84 ,$64.51 ,9,2016,55.30033442
9/11/2016,$81.97 ,Third Party,10/23/2016,$131.97 ,$71.83 ,9,2016,53.70848197
9/12/2016,$98.67 ,Third Party,10/24/2016,$148.67 ,$60.73 ,9,2016,58.10215704
9/13/2016,$57.44 ,Third Party,10/25/2016,$107.44 ,$70.85 ,9,2016,60.5611518
9/14/2016,$66.15 ,Third Party,10/26/2016,$116.15 ,$53.75 ,9,2016,43.21057663
9/15/2016,$120.84 ,Third Party,10/27/2016,$170.84 ,$160.47 ,9,2016,46.02501597
9/16/2016,$111.44 ,Third Party,10/28/2016,$161.44 ,$115.65 ,9,2016,60.76575664
9/17/2016,$123.92 ,Third Party,10/29/2016,$173.92 ,$136.41 ,9,2016,60.14928111
9/18/2016,$62.89 ,Third Party,10/30/2016,$112.89 ,$83.75 ,9,2016,45.03838062
9/19/2016,$69.22 ,Third Party,10/31/2016,$119.22 ,$57.97 ,9,2016,50.51266157
9/20/2016,$56.79 ,Third Party,11/1/2016,$106.79 ,$102.12 ,9,2016,53.09904944
9/21/2016,$104.81 ,Third Party,11/2/2016,$154.81 ,$121.64 ,9,2016,53.83537969
9/22/2016,$62.38 ,Third Party,11/3/2016,$112.38 ,$109.37 ,9,2016,61.9189935
9/23/2016,$97.44 ,Third Party,11/4/2016,$147.44 ,$102.91 ,9,2016,54.07761845
9/24/2016,$33.33 ,Third Party,11/5/2016,$83.33 ,$51.30 ,9,2016,44.99808123
9/25/2016,$32.81 ,Third Party,11/6/2016,$82.81 ,$78.23 ,9,2016,58.54486958
9/26/2016,$88.55 ,Third Party,11/7/2016,$138.55 ,$98.53 ,9,2016,55.43405896
